INFO	2020-02-28 20:37:26,226	[log.py:51]	你好
INFO	2020-02-29 20:45:14,328	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:14,996	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入domi
INFO	2020-02-29 20:45:16,608	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入1234556
INFO	2020-02-29 20:45:17,704	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 20:45:22,949	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:23,147	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:23,327	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:23,511	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:23,704	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:23,893	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 20:45:24,069	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:01,252	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:01,908	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入domi
INFO	2020-02-29 21:14:03,518	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入1234556
INFO	2020-02-29 21:14:04,598	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 21:14:12,839	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:13,032	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:13,212	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:13,391	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:13,565	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:13,744	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:13,927	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:29,939	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:30,602	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginName'}中输入domi
INFO	2020-02-29 21:14:32,203	[basepage.py:88]	在元素{'type': 'id', 'value': 'loginPsd'}中输入123456
INFO	2020-02-29 21:14:33,286	[basepage.py:95]	点击元素{'type': 'class_name', 'value': 'submit'}
INFO	2020-02-29 21:14:41,539	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:41,732	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:41,922	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:42,101	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:42,276	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:42,459	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:14:42,641	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:16:38,386	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:20:39,788	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:27:51,169	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:28:41,696	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
INFO	2020-02-29 21:29:40,825	[basepage.py:52]	打开网页：http://47.98.47.243:8083/login.html
